num_var,density,f1,f2,f3
100,25,0.8123946063999341,0.6210654450761154,0.654718985211991
100,50,0.8094005463569457,0.6262345256104493,0.6761555145536204
100,75,0.8152054829857676,0.6384878385303903,0.6834796546256274
100,100,0.8055820325248696,0.6139682594680953,0.6916754601917214
200,25,0.8054741766599366,0.6366288375379332,0.6676011198974751
200,50,0.8071688081001208,0.6409256599230119,0.6853710536504004
200,75,0.8041653762992077,0.6261945351839762,0.6907960308168503
200,100,0.7887303875410686,0.6304484698005512,0.6957416822041238
300,25,0.8105781865909688,0.6343404459739564,0.6751064963059116
300,50,0.8026889741697357,0.6449853365780062,0.6885006988196203
