,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_200_75_2,1,0.30000000000000004,0.7,100,200,10,41785.09738281762,42380.29902560354,14260423.308618367,100,34243.0,47711.280271612224,3965.36,3934.0,162374.6504000001,3360,4713,2677.075607298287,2585.5,743231.877888632,810.0,4061.954239569314,304065074194.7778
1,r_200_75_2,1,0.30000000000000004,0.7,150,200,10,41719.93074973645,41701.20899258455,13356890.828682741,150,34422.0979020979,48593.07860703049,3775.4,3707.0,129161.4266666667,3208,4518,2517.556621574045,2689.5,893448.3773014558,300.0,3945.0,336974726913.3168
2,r_200_75_2,1,0.30000000000000004,0.7,200,200,10,41758.29665118453,41834.93298043925,18415195.572922386,200,33355.0,49493.88630169463,3671.03,3601.5,157513.70909999998,3056,4767,2992.37172718908,3061.0,506570.2922535316,956.0,4218.0,397096691405.3489
3,r_200_75_2,1,0.30000000000000004,0.7,250,200,10,42139.38650117651,42520.28084018283,22608114.814569775,250,31358.0,49002.79049676026,3583.592,3560.0,167809.86553600003,2914,4440,2720.8752880696525,2805.5,736502.6867022631,655.0,4196.0,408668373483.19574
4,r_200_75_2,1,0.19999999999999996,0.8,100,200,10,40462.43355693762,40450.93828712881,18620423.228378784,100,32500.160503979558,48193.69676922549,3908.25,3847.5,118742.9475,3378,4622,2501.271925028091,2577.0,668441.5339441817,677.0,3896.1406593406596,297989090019.60767
5,r_200_75_2,1,0.19999999999999996,0.8,150,200,10,41460.48454486025,42221.8668844813,15889018.39964442,150,33239.99563318778,47739.524479651576,3989.1866666666665,3962.0,173099.09848888888,3339,4805,2832.113932396125,2882.711462450593,500810.5717941111,1345.0,4032.559139784946,317195199460.0298
6,r_200_75_2,1,0.19999999999999996,0.8,200,200,10,41984.72502623293,43054.89215590611,30195286.68329254,200,28155.0,49193.797967812454,3807.3,3763.5,219257.07999999996,3019,4771,2742.8831907870936,2831.5,589397.6123705311,855.0,4263.0,379554964835.3211
7,r_200_75_2,1,0.19999999999999996,0.8,250,200,10,41140.78308737364,41771.822796934866,22513564.711014338,250,32107.0,49741.85735676554,3745.72,3703.5,168107.9216,3052,4705,2474.985044560891,2456.5,892289.5460458017,590.0,4050.4140969162995,361510322699.56067
8,r_200_75_2,1,0.09999999999999998,0.9,100,200,10,40116.6963110078,40529.88939994614,17785013.971565403,100,31723.403669724772,46825.69506430685,4047.47,4006.0,165766.16910000006,3407,4842,2521.483928554821,2595.904921700224,544705.8783510762,941.0,3713.0,271682275933.99542
9,r_200_75_2,1,0.09999999999999998,0.9,150,200,10,40628.567855513655,40593.23521248177,14412729.467775902,150,33800.432801822324,47217.159322248815,4009.46,3960.0,116028.04839999996,3399,4637,2853.3095499598203,2933.0,557907.6653856952,937.0,4025.4960629921256,298284336260.57025
10,r_200_75_2,1,0.09999999999999998,0.9,200,200,10,40655.929774533215,40784.2004454343,12687967.403654424,200,33447.18518518518,47268.10406559332,3785.815,3717.0,101644.77077500003,3289,4428,2828.76926400447,2877.0,648222.9824509021,963.0,4155.0,341077806731.9021
11,r_200_75_2,1,0.09999999999999998,0.9,250,200,10,40672.09834059432,41356.32191780822,24413786.7262337,250,30922.545454545456,48409.96984667342,3912.728,3839.5,157435.31801599998,3212,4669,2668.301436220323,2660.5,717336.378285215,891.0,4138.0,337923921918.4997
12,r_200_100_8,1,0.9,0.1,100,200,10,55707.17049850154,55787.10653190724,9859829.71086147,100,49360.0,60885.63715993269,3388.61,3380.0,55816.35790000001,3013,3842,3637.2805657423664,3575.0,794283.8781124929,1920.0,5297.004830917875,519120579681.6605
13,r_200_100_8,1,0.9,0.1,150,200,10,60006.9656459545,60296.78225507069,9987883.48982107,150,53191.0,65893.59312032239,3587.4266666666667,3547.5,68901.44462222217,3227,4189,3440.7303838204457,3478.5,1066272.887341989,961.0,5153.012958963283,479703023259.31555
14,r_200_100_8,1,0.9,0.1,200,200,10,59986.69202742297,59902.66691404727,12473752.34424433,200,52861.0,66553.26530941435,3434.71,3418.5,47384.82589999999,3064,3919,3422.5483746222744,3477.0,714234.4212067416,1157.0,4876.0,521036018918.7079
