,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_50_4,1,0.30000000000000004,0.7,100,200,10,9763.730612081716,9734.57970255551,2506067.109949199,100,6734.0,12745.820356514363,1698.77,1674.5,78080.01710000001,1261,2216,530.0424014746163,482.5,68802.54489469716,54.0,1032.0,12887826694.359026
1,r_100_50_4,1,0.30000000000000004,0.7,150,200,10,9655.234484761415,9672.383177570093,2711839.2764660087,150,6232.0,12664.605683468653,1677.7333333333333,1655.0,86892.44888888886,1164,2209,488.58259829669043,506.0,79572.07846618838,0.0,1015.0,12759249273.743649
2,r_100_50_4,1,0.30000000000000004,0.7,200,200,10,10362.359671871125,10451.358974358975,4232584.835549324,200,6336.0,13658.969740590657,1594.14,1572.0,84580.72039999995,1100,2211,644.0453239857695,664.0,64389.27888271582,0.0,1037.0,16448294095.91268
3,r_100_50_4,1,0.30000000000000004,0.7,250,200,10,9384.803364833984,9511.449339207049,3199876.1145807714,250,5344.0,12632.851617942455,1577.204,1554.0,105952.49838400005,1006,2283,495.35566639377515,480.0,57949.30172645387,0.0,961.0,13716747763.326056
4,r_100_50_4,1,0.19999999999999996,0.8,100,200,10,8858.433903982612,9155.790465301252,4715091.326785308,100,4755.763636363637,12263.863742823782,1746.93,1732.0,91240.2451,1249,2248,511.26218619441744,509.5,58127.147924375815,0.0,983.0,10950853169.173407
5,r_100_50_4,1,0.19999999999999996,0.8,150,200,10,8832.584517756663,8901.769571115161,2890251.2703762245,150,5302.771186440678,11974.494378646734,1762.6,1744.0,109565.7333333333,1224,2449,521.6005957344194,539.5,51641.43428104754,74.0,902.0,10290890341.306454
6,r_100_50_4,1,0.19999999999999996,0.8,200,200,10,9552.626484005374,9587.924694157427,2508862.424690989,200,6472.0,12090.79166170675,1678.445,1632.0,68639.73697499995,1226,2239,509.986634295142,503.0,66699.02813060803,4.0,957.2168674698795,12718295482.724653
7,r_100_50_4,1,0.19999999999999996,0.8,250,200,10,9244.317803972055,9290.075993620349,3261567.277385693,250,5995.0,12479.73845859981,1686.08,1688.0,111037.93760000002,1134,2352,528.7610424286642,554.0,59755.83663355564,38.0,969.1895910780669,12627633179.26184
8,r_100_50_4,1,0.09999999999999998,0.9,100,200,10,9502.817520292245,9677.519569212905,2423363.6231502877,100,6774.639947683109,11946.051894507795,1813.8,1787.0,73294.00000000001,1311,2370,555.7199328482648,566.8378378378378,65795.32439128945,0.0,946.7752293577981,10596861211.185974
9,r_100_50_4,1,0.09999999999999998,0.9,150,200,10,9122.40863912253,9130.431363922062,3639531.8865940585,150,5438.0,12521.446626931947,1806.8266666666666,1779.0,125485.70328888898,1240,2522,537.9178102391593,560.0,67288.8044392235,22.0,930.3612040133779,10683423221.53161
10,r_100_50_4,1,0.09999999999999998,0.9,200,200,10,8908.907524761573,9115.467289719625,3439623.9594011195,200,5334.0,11945.049672728484,1714.575,1699.0,102130.40437499987,1236,2428,501.8616536161995,507.0,53704.079556191246,4.0,919.8791208791209,11071997573.029835
11,r_100_50_4,1,0.09999999999999998,0.9,250,200,10,8691.156394443162,8793.934680711222,3865392.86788531,250,5178.0,12047.080364398822,1678.776,1684.0,152215.16582399997,1041,2489,466.1170903030784,443.5,60540.70402137866,0.0,934.8333333333333,11311778195.886612
12,r_100_75_8,1,0.9,0.1,100,200,10,14114.255047921213,14035.818326180259,1127698.6490371951,100,12194.238930841528,16221.641223404255,1955.39,1950.0,25899.717900000003,1652,2243,861.2313205916251,899.5,43067.41636552586,313.0,1213.1715328467153,21317474537.369144
13,r_100_75_8,1,0.9,0.1,150,200,10,14764.007943147855,14825.651412133891,997993.215044783,150,12817.0,16462.27185658189,2015.0533333333333,2002.5,31952.450488888895,1725,2395,908.4102744870612,915.0,82680.67288705797,137.0,1323.9805447470817,22865075487.708004
14,r_100_75_8,1,0.9,0.1,200,200,10,15176.847702419993,15236.320689655173,1239769.744485395,200,12600.553278688525,17169.198581984172,1973.155,1967.0,29795.060974999975,1657,2374,756.1710001677017,752.0,41281.166412109786,295.0,1095.0,20502013264.27615
