,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_300_25_8,1,0.6,0.4,100,200,10,36940.46872130732,37148.49248660127,3363333.6795143313,100,31991.384364820846,39762.04637232705,5556.96,5579.0,24875.138400000007,5222,5963,3064.26568627451,3096.0,74456.01847846986,2408.0,3492.2843137254904,323599787609.6105
1,r_300_25_8,1,0.6,0.4,150,200,10,40638.31084702841,41033.5,4216818.612536639,150,35465.0,43786.0,5299.486666666667,5299.5,44639.10315555553,4895,5719,3311.480431991398,3424.0,169262.17447460038,2131.0,3858.0,442955863799.56146
2,r_300_25_8,1,0.6,0.4,200,200,10,38839.6588189448,39300.0,7557168.876063138,200,30284.0,42965.76682316119,5135.255,5120.5,71332.99997500003,4721,6043,3248.637817109255,3297.5,110120.59837885712,2041.0,3823.9871428571428,453821147244.32544
3,r_300_25_8,1,0.6,0.4,250,200,10,39198.7227638423,39200.0,8844012.399301432,250,29311.0,43588.514779675315,5132.12,5127.0,78557.87360000002,4535,5721,3115.991849056604,3192.0,179121.24793546085,1624.0,3638.0,457444031773.8788
4,r_300_25_8,1,0.5,0.5,100,200,10,38580.114766471466,38639.60697851262,1665425.8621327048,100,35182.375191424195,41134.05254402834,5666.6,5674.5,35481.50000000001,5336,5980,3023.116890369501,3087.0,84797.63452960538,2153.0,3482.0,317945319535.7417
5,r_300_25_8,1,0.5,0.5,150,200,10,39840.9855792654,39865.5,4267633.0620503295,140,35691.0,42917.94290375204,5335.521428571428,5288.0,57458.94954081631,4913,5751,3239.5642857142857,3292.0,82664.70301020416,2541.0,3798.0,424727183836.7257
6,r_300_25_8,1,0.5,0.5,200,200,10,40205.60395555749,40942.97412907348,6764629.855634603,200,32483.0,43630.167859716785,5335.23,5357.5,113823.24709999998,4651,5994,3359.3099312063086,3463.0,121767.30558992235,2404.0,3883.0,471743795331.66675
7,r_300_25_8,1,0.5,0.5,250,200,10,39658.61653801728,40022.5,7851387.1959446715,250,32983.0,44282.7168996258,5177.044,5119.0,95442.66606399999,4568,5875,3178.0930268906204,3192.0,136721.84882665583,2165.0,3844.9008,479864621662.84924
8,r_300_25_8,1,0.4,0.6,100,200,10,35552.59593754356,35852.5,10358089.46661834,100,27880.0,40655.58363920609,5245.25,5176.5,126812.2275,4746,6006,2796.5990695753567,2853.0,257463.6774485279,1505.0,3557.0,383296553257.0154
9,r_300_25_8,1,0.4,0.6,150,200,10,38707.946605189005,38942.80887096774,4831898.251340891,150,34127.0,42414.11182108626,5400.473333333333,5377.0,120752.51595555556,4848,6039,3121.445328099397,3209.5,159794.18536668413,2101.0,3681.785714285714,410332531024.59033
10,r_300_25_8,1,0.4,0.6,200,200,10,39126.861621888405,39536.163414634146,6991421.7311898125,200,33221.0,43226.870012208106,5323.885,5287.0,102079.06177499998,4734,5997,3138.423181675238,3094.5,178416.85204471703,2047.0,3935.729430379747,454085584057.0188
11,r_300_25_8,1,0.4,0.6,250,200,10,36735.33034317347,37528.5,6028406.048336988,250,29539.0,40308.92474232269,5548.588,5417.0,264994.7542560001,4806,6620,3058.858282480605,3028.0,69975.96503532113,2159.0,3564.3235747303543,374000700504.2035
12,r_300_25_8,1,0.30000000000000004,0.7,100,200,10,33852.619246558716,34135.134033757335,2745231.93086577,100,30126.0,36726.7977614103,5733.24,5687.5,171338.26239999995,5113,6644,2715.6595258659013,2762.0,91449.41033168642,1976.0,3182.0,274229304476.92358
13,r_300_25_8,1,0.30000000000000004,0.7,150,200,10,32447.369953287274,32316.867848794805,9002696.580874259,150,27013.0,38146.79331050624,5567.2266666666665,5517.0,134163.68195555566,4916,6242,2317.676203169433,2317.0,171807.92586501947,1493.0,3121.0,282210861883.03186
14,r_300_25_8,1,0.30000000000000004,0.7,200,200,10,38043.62897184109,39074.66349206349,11912511.227244828,200,30391.0,42805.967741935485,5250.785,5235.5,111087.078775,4666,5930,3002.584195514957,3059.5,212127.1736632606,1682.0,3717.0,435245745949.7733
15,r_300_25_8,1,0.30000000000000004,0.7,250,200,10,34039.04344637404,33985.02301587301,9520127.031312753,188,27446.0,40119.8938863796,5365.5,5385.0,107828.6329787234,4799,6382,2670.451632611675,2686.0,179875.1027749546,1684.0,3425.0,349455524821.4459
16,r_300_25_8,1,0.19999999999999996,0.8,100,200,10,33990.18834700724,34742.48203269903,6719013.501780854,100,28137.499202551833,37056.27798486353,5717.1,5796.5,191704.20999999993,4977,6606,2678.6100549939297,2773.0,226051.92758014702,1605.0,3356.474377745242,293900156152.73157
17,r_300_25_8,1,0.19999999999999996,0.8,150,200,10,33301.97823373928,33640.79624149337,8241338.859588999,150,27869.404838709677,37659.844026575905,5649.8533333333335,5561.0,221666.44515555553,4942,6789,2374.3395405165747,2372.0,279135.8020728543,941.0,3246.1547212741752,289137177533.19434
18,r_300_25_8,1,0.19999999999999996,0.8,200,200,10,35988.28137000292,36421.78538476083,6926482.828542246,200,30222.0,39947.22276422764,5388.93,5360.0,107456.38510000006,4802,6073,2764.961313987457,2834.9456168831166,136712.91110354738,1781.0,3360.5,354066452684.8356
19,r_300_25_8,1,0.19999999999999996,0.8,250,200,10,32948.028324983046,34103.32595723595,11606101.683414701,250,24187.270799347472,37979.60079492383,5552.572,5567.5,233377.97281599994,4768,6616,2539.516242310442,2576.5,183354.8159168468,1482.0,3347.8411602209944,312134449235.5271
20,r_300_25_8,1,0.09999999999999998,0.9,100,200,10,31016.41582416557,31163.601934011698,10382412.031549511,100,24073.3125,37362.05071868561,5993.55,5918.0,198806.6075,5322,6799,2368.8028695971316,2373.96875,157576.0567815927,1114.0,3022.6117478510027,219903710411.75818
21,r_300_25_8,1,0.09999999999999998,0.9,150,200,10,32105.54540070917,32275.907849255273,8727107.943438651,150,25759.4253611557,37263.41371115248,5905.3133333333335,5905.5,191439.05515555566,5153,6682,2477.475110279811,2502.59375,147372.49478249822,1541.0,3243.0,253832160930.90277
22,r_300_25_8,1,0.09999999999999998,0.9,200,200,10,32684.243133347827,32877.12032821917,7391605.957412694,200,26942.3949033308,37945.802280627395,5928.48,5782.5,213730.05960000004,5258,6859,2615.138530939238,2626.0,187646.80787880317,1755.0,3388.607843137255,259019522317.4521
23,r_300_25_8,1,0.09999999999999998,0.9,250,200,10,33182.46810279342,33930.69039690707,15372520.296437789,250,23322.856345234068,39772.38441776136,5632.852,5617.0,197838.6540960001,4716,6412,2395.961039395972,2362.0,282807.06116618204,1261.0,3457.4609250398726,322155946183.1723
24,r_300_50_1,1,0.9,0.1,100,200,10,66219.05380927946,66221.72612113302,2952961.4899605634,100,61891.0,69361.52236421725,5822.27,5812.0,10835.857100000001,5637,6082,5841.28,5894.5,96545.10159999997,5073.0,6313.0,918118094708.9233
25,r_300_50_1,1,0.9,0.1,150,200,10,69872.81882474446,69908.53536977492,6210043.4891190175,150,63941.0,73894.29582754732,5748.426666666666,5715.5,32739.6312888889,5443,6082,5709.020449374997,5738.5,359277.4120009725,3984.0,6675.503961965135,1108074383623.6323
26,r_300_50_1,1,0.9,0.1,200,200,10,73998.60102382312,73971.46428571429,6920185.511451482,200,66363.83922829582,78303.15707620529,5650.58,5621.0,42139.50359999998,5246,6062,6033.675,6024.0,256094.55937500004,4704.0,6877.0,1304142153013.801
27,r_300_50_1,1,0.9,0.1,250,200,10,72056.23233971023,72349.0,5005340.7161689885,250,65431.0,75781.15487537115,5721.568,5716.0,31152.861375999993,5334,6100,5900.173830290533,6005.0,187681.4247543036,4614.0,6579.0,1169204376078.6396
28,r_300_50_1,1,0.8,0.2,100,200,10,66289.76807887574,66703.04066985646,6935111.084661849,100,60046.08411214953,70473.7252188862,5638.38,5597.0,37182.09559999999,5372,6144,5258.878945677205,5252.0,251530.20644090621,3755.0,6030.882869692533,994045576784.8036
29,r_300_50_1,1,0.8,0.2,150,200,10,70338.30310951703,71127.73783359498,12160498.104118815,150,62383.0,75499.0,5540.026666666667,5509.5,69155.66595555557,5130,6027,5813.690317986784,5809.0,364254.83052155597,4298.0,6904.175159235669,1303931574960.105
