,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_100_10,1,0.6,0.4,100,200,3,31439.18482610325,32124.5,76851276.55861352,100,13843.0,45853.0,1218.21,1200.0,113055.4059,661,1810,7250.44,7029.0,16256768.566399999,348.0,14861.0,758658391379.643
1,r_100_100_10,1,0.6,0.4,150,200,3,32782.21410194013,32233.0,95546944.56872055,150,14822.0,49316.0,1210.7066666666667,1190.0,131863.42062222227,599,1897,8408.559483204135,8232.5,20036971.82862068,500.0,15983.0,875588425920.378
2,r_100_100_10,1,0.6,0.4,200,200,3,30098.157177800163,30492.5,108606927.35398634,200,10582.0,47614.0,1114.075,1094.0,161556.8693749999,477,1885,7280.795,6870.5,19989207.392974995,94.0,15149.0,832564897908.9436
3,r_100_100_10,1,0.6,0.4,250,200,3,33252.60265830564,34801.0,85186698.32680301,250,15267.0,47863.785381026435,1233.196,1241.5,124577.49358399995,618,1872,7373.52,6796.0,19034679.145600013,205.0,15553.0,834233317733.3009
4,r_100_100_10,1,0.5,0.5,100,200,3,31392.902243670847,32153.0,79872631.15614742,100,15045.0,45397.0,1265.15,1269.0,123189.0075,684,1884,7853.462452830188,7913.5,15252328.605306126,719.0,14792.0,721249938636.5604
5,r_100_100_10,1,0.5,0.5,150,200,3,32291.461505449253,32633.406009244994,72494361.50734699,150,15141.0,45575.0,1232.42,1222.0,108683.40359999998,689,1866,7437.626666666667,6989.5,16038008.167288892,295.0,14558.0,760590443648.6301
6,r_100_100_10,1,0.5,0.5,200,200,3,30312.45650531624,30623.0,83776059.37644349,200,11979.0,45886.0,1177.015,1165.5,144261.40477500003,545,1861,6680.095441586063,6246.0,16516885.750332152,62.0,14710.392464678178,750158575763.1243
7,r_100_100_10,1,0.5,0.5,250,200,3,31036.98353173652,31226.5,105233829.68987986,250,11111.0,47424.954500338805,1203.4,1175.0,172509.35200000004,486,1948,7189.62060764675,7076.0,16040577.786790248,557.0,14767.776744186047,786696791151.9597
8,r_100_100_10,1,0.4,0.6,100,200,3,31586.641284818117,32561.5,90772108.81557329,100,14310.0,46598.48744725299,1290.87,1309.0,124563.37309999998,669,1907,7554.25,6953.5,16156763.6675,567.0,14407.0,711850372300.1294
9,r_100_100_10,1,0.4,0.6,150,200,3,30447.06564928186,30694.0,104417900.2742591,150,11024.0,46564.98466257669,1209.6,1213.5,155586.69333333345,542,1901,7473.481664050236,7349.5,18104917.796987455,200.0,14908.0,765301352716.1787
10,r_100_100_10,1,0.4,0.6,200,200,3,30099.8789656835,30360.48623853211,101019574.1006749,200,10370.0,46803.0,1142.295,1103.5,158613.87797499995,511,1886,7095.520086614173,6750.5,19152753.817931928,134.0,15195.0,797655676239.1648
11,r_100_100_10,1,0.4,0.6,250,200,3,30863.092533538107,31207.0,119261111.42111096,250,11027.0,48546.0,1156.712,1140.0,170374.00505599997,511,1896,7122.292795221727,6829.0,18571563.5447763,261.0,14942.0,825145470445.1243
12,r_100_100_10,1,0.30000000000000004,0.7,100,200,3,30884.474028977762,30535.0,95153021.24118158,100,12297.0,45096.11227183802,1253.57,1226.0,143458.2651,645,1932,8083.7836463304675,8032.0,16301707.97850695,813.0,14648.0,724418281321.287
13,r_100_100_10,1,0.30000000000000004,0.7,150,200,3,30558.831922924644,31200.5,111213249.34450133,150,11581.0,46899.75471698113,1213.2266666666667,1214.5,154221.9886222222,523,1900,7467.558526152936,6797.0,18844833.03749534,388.0,15070.687598116168,768961475509.5211
14,r_100_100_10,1,0.30000000000000004,0.7,200,200,3,30300.123012969605,30656.5,127407993.34835333,200,8849.0,47704.45705103522,1156.42,1123.5,178519.98360000004,449,1917,7527.742287698608,7145.0,19057659.96238927,335.0,15518.0,834939329896.819
15,r_100_100_10,1,0.30000000000000004,0.7,250,200,3,29094.071937427332,29006.5,114254565.27259396,250,8712.0,46987.0,1106.652,1080.5,173496.5388960001,416,1865,6975.287658015267,6415.5,20862091.36959358,94.0,15139.0,812757174654.3131
16,r_100_100_10,1,0.19999999999999996,0.8,100,200,3,28758.426212061247,30422.0,105656301.48791894,100,9114.0,44485.82131661442,1243.53,1252.0,167436.92910000007,523,1938,6915.843600415422,6920.5,18270415.085650194,232.0,14157.437967115098,661089309789.1926
17,r_100_100_10,1,0.19999999999999996,0.8,150,200,3,29180.710016044515,29210.0,120467573.15752922,150,9846.0,46844.42006269592,1203.94,1212.0,167244.21639999992,518,1893,7183.456780893042,6778.5,18229066.078783065,182.0,15103.0,739040079748.6006
18,r_100_100_10,1,0.19999999999999996,0.8,200,200,3,29867.14055215817,30752.5,105859829.24843065,200,11363.0,46542.51428433851,1178.74,1137.5,157969.99239999996,542,1938,7133.256219299351,6687.0,18749693.225250863,0.0,14977.751572327044,773923349268.4674
19,r_100_100_10,1,0.19999999999999996,0.8,250,200,3,31937.81401106421,32964.5,118912806.72069299,250,12407.0,49424.36363636363,1241.388,1230.0,175726.261456,484,1980,6878.368659540474,6481.0,15258495.70847664,178.0,14782.053375196232,784133035143.4628
20,r_100_100_10,1,0.09999999999999998,0.9,100,200,3,28948.961636988446,30855.0,114633988.909475,100,9187.0,45255.709899998765,1275.99,1267.0,149215.26990000004,623,1959,7245.655543944126,6823.5,18745295.989880152,238.0,14882.16388467375,674646383963.576
21,r_100_100_10,1,0.09999999999999998,0.9,150,200,3,29337.030097861363,30618.0,117425217.799309,150,8845.0,48102.0,1237.4466666666667,1231.5,161962.9004888888,568,1959,6706.120874114242,6770.0,14314898.344734466,71.0,14339.0,716165718040.854
22,r_100_100_10,1,0.09999999999999998,0.9,200,200,3,29177.890468335114,29784.0,94579667.98818436,200,10131.0,45189.0,1185.755,1171.0,154050.62497499996,504,1928,7195.642645009844,6795.0,17684967.118604157,517.0,14459.290322580646,730368872336.1776
