,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_200_100_4,1,0.5,0.5,200,200,3,123069.94552885916,125384.5,790458209.372078,200,69368.0,167319.0,2914.575,2893.0,459236.6643750007,1757,4124,30431.869224614285,30583.5,206378224.23405686,4087.0,55532.0,21712834795113.613
1,r_200_100_4,1,0.5,0.5,250,200,3,127639.77225560362,127208.5,870451511.3260887,250,73236.0,173723.0,2916.896,2861.0,443962.73318400024,1910,4184,33280.33031332703,33130.0,200907010.6928855,6049.0,55746.0,23286941536990.93
2,r_200_100_4,1,0.4,0.6,100,200,3,119337.6244261141,122241.0,831005375.5403289,100,67291.0,162597.15638795833,3101.68,3105.0,425079.6976000001,2039,4205,27467.70581530891,25573.0,186068349.2560813,3017.0,51291.99304589708,17962581462600.867
3,r_200_100_4,1,0.4,0.6,150,200,3,120815.51537128667,122690.5,860018143.7531333,150,65936.0,164424.01977832514,2961.9,2903.0,427073.1033333328,1891,4177,29335.239741379308,26989.0,218710222.57546523,2869.0,54398.0,20407427566572.26
4,r_200_100_4,1,0.4,0.6,200,200,3,119909.91457455797,120747.5,937006783.19529,200,62533.0,169504.0,2873.095,2824.0,427825.055975,1803,4147,31653.726096349066,31374.0,197206822.3885033,5755.0,55757.99784482759,22092334181123.79
5,r_200_100_4,1,0.4,0.6,250,200,3,115442.74367007767,116074.0,1046503044.2167461,250,57159.0,167974.36174656524,2812.532,2803.0,513610.51297600026,1654,4210,29192.435993846186,28280.0,217333845.72024104,2983.0,54853.0,21667561558338.65
6,r_200_100_4,1,0.30000000000000004,0.7,100,200,3,114941.45056087249,118195.5,864937193.0697714,100,65160.0,158863.44262295082,2978.6,2931.5,506522.4199999997,1932,4257,34746.431185062684,35325.5,112168080.50946455,14654.0,51451.73647711512,18899758559646.125
7,r_200_100_4,1,0.30000000000000004,0.7,150,200,3,124789.87337283023,127152.5,663796546.3097479,150,71995.0,167314.0,3073.28,3047.0,323576.58826666675,2075,4120,31767.39440603656,31107.0,185636298.37464273,5715.0,55031.3234870317,20543428681858.914
8,r_200_100_4,1,0.30000000000000004,0.7,200,200,3,121717.78053293069,125013.0,829328200.7495761,200,62681.0,165179.0,3012.765,3012.5,409048.209775,1909,4141,29675.85969795689,28524.5,192460045.13122723,4168.0,54054.0,20262688865293.883
9,r_200_100_4,1,0.30000000000000004,0.7,250,200,3,122698.47359132276,125708.5,917584495.3982205,250,59842.0,171367.0,2940.06,2918.5,478845.0164000004,1785,4215,30013.473271031413,29621.5,193776385.9198396,4594.0,54417.0,21662652329395.38
10,r_200_100_4,1,0.19999999999999996,0.8,100,200,3,111860.12745812826,109727.5,966200399.4579576,100,56294.0,161437.5766215253,3078.11,3030.5,444890.7579000001,1997,4292,30360.952193511166,30049.5,166079780.14072925,5457.0,51302.0,17612566232782.77
11,r_200_100_4,1,0.19999999999999996,0.8,150,200,3,115888.52861563658,118343.2185583648,805146188.7602571,150,60036.0,160711.6156810392,3047.233333333333,2994.5,380784.7788888892,2008,4268,30356.58597559154,30782.0,155577878.9904439,6411.0,51491.0,18363636258707.93
12,r_200_100_4,1,0.19999999999999996,0.8,200,200,3,120738.4060137156,119379.5,733800049.6202415,200,71628.0,167273.07393494438,3020.475,2925.5,415978.75937499956,1966,4198,30135.021721279343,30672.0,167293807.15226978,4469.0,52682.0,19886510043519.598
13,r_200_100_4,1,0.19999999999999996,0.8,250,200,3,113809.87206329855,113147.5,1110651440.1673205,250,54393.0,166272.51578192253,2844.532,2812.5,522908.2089759998,1710,4153,29419.584084069884,29412.0,222671870.03903237,3849.0,54618.078571428574,20831445348567.465
14,r_200_100_4,1,0.09999999999999998,0.9,100,200,3,110788.02059676846,112688.5,907539754.6481063,100,57481.0,155805.753096345,3069.37,3035.0,392918.6131,2069,4178,29830.475878999987,28800.0,150409795.6031818,8610.0,51595.20345075485,16959744231855.873
15,r_200_100_4,1,0.09999999999999998,0.9,150,200,3,117077.38318506969,117317.5,792103278.9419208,150,65364.0,161419.43704852602,3062.9133333333334,3078.0,356524.33248888893,2047,4190,29667.5820620926,28946.0,229037744.27805057,2510.0,53156.36249125262,18930302263426.688
16,r_200_100_4,1,0.09999999999999998,0.9,200,200,3,113501.39125648049,113724.5,866417965.8253608,200,61611.0,162817.96104815864,2901.365,2843.0,383139.8517749999,1976,4099,33735.62397183374,34398.5,132415424.60434023,8484.0,53153.0,19950061398415.65
17,r_200_100_4,1,0.09999999999999998,0.9,250,200,3,114644.30886570687,115750.0,881520841.1937336,250,59606.0,163725.0,2939.148,2910.5,408543.92609599995,1871,4197,28909.77482842785,29241.5,236457550.27952585,1964.0,53190.902368987794,19662997995926.5
18,r_300_25_6,1,0.9,0.1,100,200,3,86529.77,87246.5,89279265.97709996,100,67384.0,100884.0,4776.82,4758.5,207890.10759999993,4038,5612,27634.0,27739.5,12931604.42,20447.0,33200.0,10849193429366.0
19,r_300_25_6,1,0.9,0.1,150,200,3,96016.68,95876.0,51882540.110933326,150,83023.0,107744.0,4894.826666666667,4839.5,158317.1166222223,4305,5705,30724.6,30654.5,7513899.919999998,25259.0,35321.0,11897441067130.0
20,r_300_25_6,1,0.9,0.1,200,200,3,92455.875,92584.0,92948109.979375,200,73795.0,108908.0,4672.335,4629.0,207779.46277499993,3901,5680,28588.92,28503.0,16701783.913600003,18551.0,35518.0,12924511638991.0
21,r_300_25_6,1,0.9,0.1,250,200,3,95591.316,96848.5,93749838.89614396,250,73369.0,110680.0,4816.084,4791.5,228497.532944,3958,5717,30793.844,31368.0,12229512.299664007,22477.0,36423.0,13236193023359.0
22,r_300_25_6,1,0.8,0.2,100,200,3,88556.75,89470.0,81600904.0075,100,71451.0,101446.0,4820.16,4729.5,291487.2143999999,4017,5798,28099.09,28441.5,11675079.681899998,22070.0,33293.0,11063901028586.0
23,r_300_25_6,1,0.8,0.2,150,200,3,87216.40296368669,87193.5,101811503.43311128,150,69018.0,102937.81485100146,4569.513333333333,4512.5,329081.95648888906,3623,5684,27588.16543234001,27540.0,12592248.75839072,19465.0,33931.814851001465,12287622937898.006
24,r_300_25_6,1,0.8,0.2,200,200,3,92119.125,92900.0,119509228.009375,200,70280.0,109481.0,4626.21,4598.5,277160.8959,3804,5738,29405.23,29633.0,15077612.147099981,19900.0,35952.0,13383190102967.0
25,r_300_25_6,1,0.8,0.2,250,200,3,93259.70481716236,94208.0,103641321.69922614,250,69997.0,110065.0,4587.972,4570.0,276623.5152160002,3662,5721,29315.836,29167.0,13421022.54510401,22057.0,36103.0,13885619675116.836
26,r_300_25_6,1,0.7,0.3,100,200,3,81272.02,81669.5,116529259.01959999,100,62142.0,97069.0,4431.54,4358.5,309379.6683999999,3602,5491,25951.71,25844.0,13167866.245899998,17931.0,32062.0,11134676215647.0
27,r_300_25_6,1,0.7,0.3,150,200,3,85333.06,85145.5,120016432.69639999,150,65103.0,102950.0,4505.14,4438.0,274012.3337333335,3724,5541,26568.726666666666,26717.0,17044488.69195557,17208.0,34069.0,12103957978426.0
28,r_300_25_6,1,0.7,0.3,200,200,3,82954.31689580319,83441.5,181788121.4493658,200,57906.0,104875.0,4435.085,4358.0,466747.3377749997,3365,5722,25531.325,25135.0,22321096.43937498,16357.0,34493.0,12685432637953.062
29,r_300_25_6,1,0.7,0.3,250,200,3,88782.936,90191.5,152838996.475904,250,63584.0,107286.0,4576.352,4572.0,400376.21209600003,3588,5678,28009.532,28722.0,21036409.248975977,17225.0,35451.0,13205302459616.0
