,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_100_3,1,0.6,0.4,100,200,3,30122.616642115245,29564.0,89652036.7874093,100,12991.0,45015.91963057015,1281.04,1251.5,157519.49839999995,643,2040,7616.249053254437,6984.0,18910780.425103527,332.0,14535.905325443788,776387412112.55
1,r_100_100_3,1,0.6,0.4,150,200,3,30773.358714231737,31935.0,105954969.40596567,150,11387.0,46886.368830190404,1296.4333333333334,1331.5,177400.40555555557,539,2101,7585.9681599368405,6899.0,18300765.469027314,435.0,15016.977876106195,801646186908.4982
2,r_100_100_3,1,0.6,0.4,200,200,3,30680.32298003021,31498.5,102569181.9714831,200,10821.0,47764.98664196589,1306.35,1296.5,179309.48750000022,604,2060,6886.628223429524,6082.0,16074852.262982124,324.0,14805.629577464788,787311174593.477
3,r_100_100_3,1,0.6,0.4,250,200,3,31848.236576852585,33168.0,105222875.11751215,250,12486.0,47053.66587661251,1293.08,1313.0,165335.18560000006,574,2036,7543.0368568392405,7147.0,19464318.09649946,267.0,15565.0,854006384845.0671
4,r_100_100_3,1,0.5,0.5,100,200,3,30391.803838328637,30335.0,106817209.49270588,100,10313.0,45762.86518732026,1352.7,1314.0,176179.24999999988,615,2096,7907.028393959668,7566.5,15623728.650905754,809.0,14905.084919472914,745880819174.8313
5,r_100_100_3,1,0.5,0.5,150,200,3,31402.74229883154,31862.5,90442746.6967819,150,14717.0,47156.0,1329.48,1312.0,148735.50293333328,726,2053,7660.598088662171,7769.0,15964652.922340736,335.0,14302.409090909092,778469901637.8197
6,r_100_100_3,1,0.5,0.5,200,200,3,29970.991103389853,29935.5,105332330.33638735,200,10846.0,46926.968703427716,1242.48,1209.5,174962.45959999986,538,2025,7154.842559708976,6601.5,20310955.012936212,234.0,14979.048961424332,825174346966.2064
7,r_100_100_3,1,0.5,0.5,250,200,3,29824.37175426586,30536.0,116092856.90446696,250,9237.0,46803.099850968705,1221.244,1224.0,209662.44046399996,474,2010,7241.6232680047315,6539.0,20567690.326677464,142.0,15180.0,829672493035.1141
8,r_100_100_3,1,0.4,0.6,100,200,3,29980.845902004516,30614.0,134602193.41785958,100,8531.0,48447.63787923417,1275.2,1245.0,181252.70000000004,544,2082,7535.851299198252,6982.0,18757085.119296666,394.0,15481.596209912537,829974625263.99
9,r_100_100_3,1,0.4,0.6,150,200,3,30223.246997051152,31037.5,88097690.98134327,150,12694.0,46027.95908655214,1285.0733333333333,1252.5,168393.2146222223,594,2047,6882.27321741251,6328.0,17942304.335275818,143.0,14386.0,750863585161.838
10,r_100_100_3,1,0.4,0.6,200,200,3,29361.378309868775,29689.5,117890500.85852194,200,9263.0,47583.21097046413,1222.61,1228.0,178061.90790000002,458,2036,7213.344488888888,7198.0,18418473.362068545,45.0,15081.0,833349618370.8511
