,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_25_5,1,0.9,0.1,100,200,5,9590.436854,9712.30819,1487168.227,100,6815,11622.24019,1675.27,1673,65250.2171,1261,2163,1379.152396,1398.5,108557.0045,559,1919,27005253458
1,r_100_25_5,1,0.9,0.1,150,200,5,9655.086174,9835.5,2456707.212,150,6464,12154.18349,1525.966667,1508.5,79899.23222,1057,2063,1532.893333,1473,166846.122,613,2215,35193445921
2,r_100_25_5,1,0.9,0.1,200,200,5,9422.73933,9490,1589424.028,200,6395,11595.40092,1517.305,1488,72611.84197,1068,2125,1177.209249,1175.5,156603.1239,294,1978.880734,30189768064
3,r_100_25_5,1,0.9,0.1,250,200,5,10315.71678,10531,2398610.394,250,6744,12908.34624,1549.948,1536,90185.7053,983,2151,1538.352657,1531,157601.0155,686,2274,39326780284
4,r_100_25_5,1,0.8,0.2,100,200,5,8953.985859,9050.044419,2689120.502,100,5779,11613,1508.47,1496,81247.5091,1072,2083,1364.86,1301.5,147063.8204,619,2067,30529230984
5,r_100_25_5,1,0.8,0.2,150,200,5,9140.842604,9279.5,3057512.073,150,5980,11873.17542,1425.693333,1391,109458.1326,919,2058,1349.547361,1396,235934.1472,383,2129,34723575461
6,r_100_25_5,1,0.8,0.2,200,200,5,10307.05121,10462.5,2466060.018,200,6579,12796,1505.39,1476.5,80643.5279,1041,2030,1170.318617,1180.5,248282.2004,134,2017.057208,34326822795
7,r_100_25_5,1,0.8,0.2,250,200,5,10381.37029,10522.5,2135215.769,250,7044,12670.64718,1567.28,1553,87964.3776,1013,2139,1812.249539,1823.5,108211.8104,962,2437,41250225507
8,r_100_25_5,1,0.7,0.3,100,200,5,8918.34251,8967.5,2453232.793,100,5661,11497,1391.63,1388,64136.9931,1020,1978,1243.95,1178.5,211757.2675,331,2037,32729476907
9,r_100_25_5,1,0.7,0.3,150,200,5,9423.566273,9476,3613502.574,150,5900,12494.30177,1463.36,1428.5,133287.4037,891,2146,1566.316199,1518,221222.7879,600,2365,39240557699
