,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_300_25_7,1,0.6,0.4,100,200,5,60318.2413882606,61111.21816037736,17212301.988639306,100,51241.0,67090.0,4949.95,4940.0,114196.68749999999,4327,5599,10727.715600000001,10900.0,1603127.1426526404,7729.0,12651.0,2474561863612.5713
1,r_300_25_7,1,0.6,0.4,150,200,5,56401.68692812543,56935.5,27279388.16957266,150,46403.0,65544.41663294798,4764.26,4710.0,180964.89906666675,4072,5713,9247.757711332773,9172.0,1915070.0806394687,5750.0,11942.0,2409058753770.674
2,r_300_25_7,1,0.6,0.4,200,200,5,63229.66269519918,64441.0,27642979.9548811,200,50030.0,70324.0,4944.9,4942.0,199751.36000000007,4124,5715,11530.515,11767.0,1829758.9097750008,8006.0,13555.0,2888810211098.4604
3,r_300_25_7,1,0.6,0.4,250,200,5,61067.83242162953,61418.0,32975666.350964602,250,48184.0,69468.2335433846,4673.144,4617.5,222652.8832639999,3918,5625,11228.952,11354.5,1711985.3016959997,8268.0,13326.0,2999707015245.673
4,r_300_25_7,1,0.5,0.5,100,200,5,52233.58283968628,52664.0,47906051.3021977,100,39156.0,62097.051527076896,4768.93,4659.0,263146.5651,3989,5743,8978.93,9061.0,3168251.205100002,4946.0,11829.0,2226763750422.967
5,r_300_25_7,1,0.5,0.5,150,200,5,58544.783810312154,59030.0,42778654.04890466,150,44678.0,69094.72522897585,4829.193333333334,4780.5,290931.24928888894,4021,5803,10267.975145469658,10549.0,2706278.639409324,6836.0,12913.271820448877,2695765466273.249
6,r_300_25_7,1,0.5,0.5,200,200,5,59106.798241062184,60117.0,34863647.2228815,200,42800.0,67712.0,4641.24,4702.5,259787.28239999976,3638,5556,10482.68,10754.0,2174548.807600002,6311.0,12760.0,2910516141775.501
7,r_300_25_7,1,0.5,0.5,250,200,5,62075.736,62243.0,20336714.138304003,250,49389.0,68878.0,4726.552,4728.0,126470.35929599991,3986,5403,11609.896,11615.5,1094029.8691839995,8602.0,13459.0,2975895675146.0
8,r_300_25_7,1,0.4,0.6,100,200,5,54242.98829314543,54640.0,29642715.730241742,100,45307.0,62360.84375,4759.66,4685.5,161235.36440000002,4200,5557,9417.64,9632.5,1889235.7703999996,6384.0,11770.0,2211785847997.6533
9,r_300_25_7,1,0.4,0.6,150,200,5,54925.089611621,55474.5,48901525.850585714,150,39227.0,65534.005000000005,4728.8533333333335,4668.5,308978.0451555555,3824,5814,9706.341408302744,9938.0,3025875.8872608882,5779.0,12502.0,2568058521752.242
